Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Tue Sep  1 20:01:02 2026,1,12, 1, 8, 20, 0, 10, 4, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0,56, 157, 68, 163, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 11, 246, 1
Tue Sep  1 20:01:06 2026,2,12, 1, 8, 20, 0, 10, 4, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0,72, 163, 70, 162, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 11, 242, 1
Tue Sep  1 20:01:10 2026,3,12, 1, 8, 20, 0, 10, 4, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0,74, 165, 70, 160, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 12, 16, 1
Tue Sep  1 20:01:15 2026,4,12, 1, 8, 20, 0, 10, 4, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0,74, 160, 64, 158, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 4, 0, 11, 229, 1
Tue Sep  1 20:01:19 2026,5,12, 1, 8, 20, 0, 10, 4, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0,72, 162, 66, 160, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 5, 0, 12, 11, 1
Tue Sep  1 20:01:23 2026,6,12, 1, 8, 20, 0, 10, 4, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0,74, 158, 68, 162, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 6, 0, 12, 15, 1
Tue Sep  1 20:01:28 2026,7,12, 1, 8, 20, 0, 10, 4, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0,74, 163, 70, 160, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 7, 0, 11, 255, 1
Tue Sep  1 20:01:32 2026,8,12, 1, 8, 20, 0, 10, 4, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0,70, 157, 68, 160, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 8, 0, 11, 215, 1
Tue Sep  1 20:01:36 2026,9,12, 1, 8, 20, 0, 10, 4, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0,72, 162, 66, 156, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 9, 0, 11, 142, 1
Tue Sep  1 20:01:40 2026,10,12, 1, 8, 20, 0, 10, 4, 5, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0,70, 155, 64, 156, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 0, 9, 0, 11, 94, 1
